Ethnicity,Role type,Broad grade,Grade
All,Medical staff,Junior Doctor,Core Training
Asian,Medical staff,Junior Doctor,Core Training
Black,Medical staff,Junior Doctor,Core Training
Chinese,Medical staff,Junior Doctor,Core Training
Mixed,Medical staff,Junior Doctor,Core Training
Other,Medical staff,Junior Doctor,Core Training
Unknown,Medical staff,Junior Doctor,Core Training
White,Medical staff,Junior Doctor,Core Training
All,Medical staff,Junior Doctor,Foundation Doctor Year 1
Asian,Medical staff,Junior Doctor,Foundation Doctor Year 1
Black,Medical staff,Junior Doctor,Foundation Doctor Year 1
Chinese,Medical staff,Junior Doctor,Foundation Doctor Year 1
Mixed,Medical staff,Junior Doctor,Foundation Doctor Year 1
Other,Medical staff,Junior Doctor,Foundation Doctor Year 1
Unknown,Medical staff,Junior Doctor,Foundation Doctor Year 1
White,Medical staff,Junior Doctor,Foundation Doctor Year 1
All,Medical staff,Junior Doctor,Foundation Doctor Year 2
Asian,Medical staff,Junior Doctor,Foundation Doctor Year 2
Black,Medical staff,Junior Doctor,Foundation Doctor Year 2
Chinese,Medical staff,Junior Doctor,Foundation Doctor Year 2
Mixed,Medical staff,Junior Doctor,Foundation Doctor Year 2
Other,Medical staff,Junior Doctor,Foundation Doctor Year 2
Unknown,Medical staff,Junior Doctor,Foundation Doctor Year 2
White,Medical staff,Junior Doctor,Foundation Doctor Year 2
All,Medical staff,Other Doctor grades,Hospital Practitioner / Clinical Assistant
Asian,Medical staff,Other Doctor grades,Hospital Practitioner / Clinical Assistant
Black,Medical staff,Other Doctor grades,Hospital Practitioner / Clinical Assistant
Chinese,Medical staff,Other Doctor grades,Hospital Practitioner / Clinical Assistant
Mixed,Medical staff,Other Doctor grades,Hospital Practitioner / Clinical Assistant
Other,Medical staff,Other Doctor grades,Hospital Practitioner / Clinical Assistant
Unknown,Medical staff,Other Doctor grades,Hospital Practitioner / Clinical Assistant
White,Medical staff,Other Doctor grades,Hospital Practitioner / Clinical Assistant
All,Medical staff,Other Doctor grades,Other and Local HCHS Doctor Grades
Asian,Medical staff,Other Doctor grades,Other and Local HCHS Doctor Grades
Black,Medical staff,Other Doctor grades,Other and Local HCHS Doctor Grades
Chinese,Medical staff,Other Doctor grades,Other and Local HCHS Doctor Grades
Mixed,Medical staff,Other Doctor grades,Other and Local HCHS Doctor Grades
Other,Medical staff,Other Doctor grades,Other and Local HCHS Doctor Grades
Unknown,Medical staff,Other Doctor grades,Other and Local HCHS Doctor Grades
White,Medical staff,Other Doctor grades,Other and Local HCHS Doctor Grades
All,Medical staff,Junior Doctor,Specialty Registrar
Asian,Medical staff,Junior Doctor,Specialty Registrar
Black,Medical staff,Junior Doctor,Specialty Registrar
Chinese,Medical staff,Junior Doctor,Specialty Registrar
Mixed,Medical staff,Junior Doctor,Specialty Registrar
Other,Medical staff,Junior Doctor,Specialty Registrar
Unknown,Medical staff,Junior Doctor,Specialty Registrar
White,Medical staff,Junior Doctor,Specialty Registrar
